                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.46843,                0.33832,                0.93436,                0.85369,                0.93062,                0.93287,                0.78052,                0.70538,                0.50008,                 1.0955,             0.00016509,             0.00016509,             0.00016509
                     89,                0.45804,                 0.3349,                0.93042,                0.83086,                0.91233,                0.91567,                0.77404,                0.69444,                0.52111,                 1.0856,              0.0001541,              0.0001541,              0.0001541
                     90,                0.44982,                 0.3308,                0.92498,                0.88008,                0.84979,                 0.9076,                0.76264,                0.68162,                0.54043,                 1.0541,              0.0001431,              0.0001431,              0.0001431
                     91,                0.41042,                0.26963,                0.87089,                0.85783,                 0.8643,                0.89969,                 0.7547,                0.71688,                 0.5647,                 1.0937,              0.0001321,              0.0001321,              0.0001321
                     92,                0.36494,                0.26707,                 0.8606,                0.86281,                0.85527,                0.89428,                0.74996,                0.70212,                0.52336,                 1.0871,              0.0001211,              0.0001211,              0.0001211
                     93,                0.36221,                0.24504,                0.85157,                0.87106,                0.86111,                0.89413,                0.74913,                0.70897,                  0.522,                 1.0784,              0.0001101,              0.0001101,              0.0001101
                     94,                0.35636,                0.23949,                0.84397,                0.83951,                0.90625,                0.90857,                0.76213,                0.71024,                0.52242,                 1.0892,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.35555,                0.23667,                0.85832,                0.83711,                 0.9101,                0.91236,                0.76198,                0.71299,                0.50344,                 1.0888,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                 0.3645,                0.23262,                0.85005,                0.87458,                0.91166,                0.90087,                0.74516,                0.71246,                0.50395,                 1.0882,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.33846,                0.21676,                0.82634,                 0.8773,                 0.9151,                0.88964,                 0.7458,                0.70723,                0.50353,                 1.0862,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.34203,                0.22538,                0.86197,                0.86537,                0.90559,                0.90227,                0.75066,                0.71489,                0.50743,                 1.0894,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.34645,                0.23497,                0.85348,                0.87381,                0.90774,                0.90091,                0.74362,                0.71149,                0.52053,                 1.0813,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.33918,                0.23343,                0.83957,                0.86864,                0.90473,                0.90228,                0.74312,                0.71395,                0.52747,                 1.0795,             3.3108e-05,             3.3108e-05,             3.3108e-05
